Gene stable ID,HGNC symbol
ENSG00000173976,RAX2
ENSG00000213020,ZNF611
ENSG00000083307,GRHL2
ENSG00000164048,ZNF589
ENSG00000184302,SIX6
ENSG00000152467,ZSCAN1
ENSG00000108001,EBF3
ENSG00000113580,NR3C1
ENSG00000149922,TBX6
ENSG00000080298,RFX3
ENSG00000176293,ZNF135
ENSG00000148400,NOTCH1
ENSG00000121413,ZSCAN18
ENSG00000127528,KLF2
ENSG00000189190,ZNF600
ENSG00000185650,ZFP36L1
ENSG00000135638,EMX1
ENSG00000069667,RORA
ENSG00000148737,TCF7L2
ENSG00000198538,ZNF28
ENSG00000204604,ZNF468
ENSG00000180257,ZNF816
ENSG00000172465,TCEAL1
ENSG00000102984,ZNF821
ENSG00000165066,NKX6-3
ENSG00000182986,ZNF320
ENSG00000137203,TFAP2A
ENSG00000157514,TSC22D3
ENSG00000144792,ZNF660
ENSG00000186448,ZNF197
ENSG00000169981,ZNF35
ENSG00000196345,ZKSCAN7
ENSG00000065029,ZNF76
ENSG00000112561,TFEB
ENSG00000221869,CEBPD
ENSG00000172818,OVOL1
ENSG00000122877,EGR2
ENSG00000073614,KDM5A
ENSG00000277015,SALL3
ENSG00000126778,SIX1
ENSG00000213928,IRF9
ENSG00000112246,SIM1
ENSG00000203883,SOX18
ENSG00000253293,HOXA10
ENSG00000078399,HOXA9
ENSG00000263001,GTF2I
ENSG00000100625,SIX4
ENSG00000115966,ATF2
ENSG00000180535,BHLHA15
ENSG00000263141,PAXBP1
ENSG00000171606,ZNF274
ENSG00000078403,MLLT10
ENSG00000277800,TBX22
ENSG00000144161,ZC3H8
ENSG00000063515,GSC2
ENSG00000276461,TCF20
ENSG00000181315,ZNF322
ENSG00000005073,HOXA11
ENSG00000153048,CARHSP1
ENSG00000171223,JUNB
ENSG00000131931,THAP1
ENSG00000112658,SRF
ENSG00000047634,SCML1
ENSG00000198081,ZBTB14
ENSG00000198945,L3MBTL3
ENSG00000005102,MEOX1
ENSG00000081059,TCF7
ENSG00000125347,IRF1
ENSG00000107164,FUBP3
ENSG00000106031,HOXA13
ENSG00000135374,ELF5
ENSG00000134954,ETS1
ENSG00000078699,CBFA2T2
ENSG00000112033,PPARD
ENSG00000162992,NEUROD1
ENSG00000187607,ZNF286A
ENSG00000134438,RAX
ENSG00000106038,EVX1
ENSG00000102974,CTCF
ENSG00000007545,CRAMP1
ENSG00000170122,FOXD4
ENSG00000016082,ISL1
ENSG00000198597,ZNF536
ENSG00000135373,EHF
ENSG00000167771,RCOR2
ENSG00000204304,PBX2
ENSG00000172216,CEBPB
ENSG00000100987,VSX1
ENSG00000152192,POU4F1
ENSG00000123095,BHLHE41
ENSG00000130711,PRDM12
ENSG00000214336,FOXI3
ENSG00000172888,ZNF621
ENSG00000121297,TSHZ3
ENSG00000171148,TADA3
ENSG00000103326,CAPN15
ENSG00000170608,FOXA3
ENSG00000153814,JAZF1
ENSG00000151702,FLI1
ENSG00000161277,THAP8
ENSG00000269067,ZNF728
ENSG00000102098,SCML2
ENSG00000198131,ZNF544
ENSG00000167034,NKX3-1
ENSG00000110395,CBL
ENSG00000163132,MSX1
ENSG00000070444,MNT
ENSG00000220201,ZGLP1
ENSG00000007866,TEAD3
ENSG00000115415,STAT1
ENSG00000248496,ZBED9
ENSG00000030419,IKZF2
