HGNC ID	Approved Symbol	Approved Name	Status	Previous Symbols	Synonyms	Chromosome	Accession Numbers	RefSeq IDs	Gene Family Tag	Gene family description	Gene family ID
348	AHR	aryl hydrocarbon receptor	Approved		bHLHe76	7p21.1	L19872	NM_001621	BHLH	Basic helix-loop-helix proteins	420
346	AHRR	aryl-hydrocarbon receptor repressor	Approved	AHH, AHHR	KIAA1234, bHLHe77	5p15.33	AB033060	NM_020731	BHLH	Basic helix-loop-helix proteins	420
700	ARNT	aryl hydrocarbon receptor nuclear translocator	Approved		HIF-1beta, bHLHe2	1q21.3	AF001307		BHLH	Basic helix-loop-helix proteins	420
16876	ARNT2	aryl hydrocarbon receptor nuclear translocator 2	Approved		KIAA0307, bHLHe1	15q25.1	AB002305		BHLH	Basic helix-loop-helix proteins	420
701	ARNTL	aryl hydrocarbon receptor nuclear translocator like	Approved		MOP3, JAP3, BMAL1, PASD3, bHLHe5	11p15.3	D89722	NM_001178	BHLH	Basic helix-loop-helix proteins	420
18984	ARNTL2	aryl hydrocarbon receptor nuclear translocator like 2	Approved		BMAL2, MOP9, CLIF, PASD9, bHLHe6	12p11.23	AF246961	NM_020183	BHLH	Basic helix-loop-helix proteins	420
738	ASCL1	achaete-scute family bHLH transcription factor 1	Approved		ASH1, HASH1, bHLHa46	12q23.2	L08424		BHLH	Basic helix-loop-helix proteins	420
739	ASCL2	achaete-scute family bHLH transcription factor 2	Approved		ASH2, HASH2, bHLHa45	11p15.5		NM_005170	BHLH	Basic helix-loop-helix proteins	420
740	ASCL3	achaete-scute family bHLH transcription factor 3	Approved		bHLHa42, HASH3, Sgn1	11p15.4	AJ400877		BHLH	Basic helix-loop-helix proteins	420
24311	ASCL4	achaete-scute family bHLH transcription factor 4	Approved		HASH4, bHLHa44	12q23.3	AY238895	NM_203436	BHLH	Basic helix-loop-helix proteins	420
33169	ASCL5	achaete-scute family bHLH transcription factor 5	Approved		bHLHa47	1q32.1		NM_001270601	BHLH	Basic helix-loop-helix proteins	420
797	ATOH1	atonal bHLH transcription factor 1	Approved		HATH1, MATH-1, Math1, bHLHa14	4q22.2	U61148	NM_005172	BHLH	Basic helix-loop-helix proteins	420
13907	ATOH7	atonal bHLH transcription factor 7	Approved		Math5, bHLHa13	10q21.3	AF418922		BHLH	Basic helix-loop-helix proteins	420
24126	ATOH8	atonal bHLH transcription factor 8	Approved		HATH6, FLJ14708, bHLHa21	2p11.2	AK074681	NM_032827	BHLH	Basic helix-loop-helix proteins	420
22265	BHLHA15	basic helix-loop-helix family member a15	Approved	BHLHB8	MIST1, bHLHa15	7q21.3	BK000276	NM_177455	BHLH	Basic helix-loop-helix proteins	420
35126	BHLHA9	basic helix-loop-helix family member a9	Approved		bHLHa9, BHLHF42	17p13.3		NM_001164405	BHLH	Basic helix-loop-helix proteins	420
29353	BHLHB9	basic helix-loop-helix family member b9	Approved		p60TRP, KIAA1701, GASP3	Xq22.1	AB051488	NM_030639	BHLH	Basic helix-loop-helix proteins	420
11963	BHLHE22	basic helix-loop-helix family member e22	Approved	TNRC20, BHLHB5	CAGL85, Beta3, bHLHe22	8q12.3	U80755	NM_152414	BHLH	Basic helix-loop-helix proteins	420
16093	BHLHE23	basic helix-loop-helix family member e23	Approved	BHLHB4	bA305P22.3, Beta4, bHLHe23	20q13.33	AL121673	NM_080606	BHLH	Basic helix-loop-helix proteins	420
1046	BHLHE40	basic helix-loop-helix family member e40	Approved	STRA13, BHLHB2	DEC1, bHLHe40, SHARP2, Clast5	3p26.1	AB004066	NM_003670	BHLH	Basic helix-loop-helix proteins	420
16617	BHLHE41	basic helix-loop-helix family member e41	Approved	BHLHB3	DEC2, SHARP-1, SHARP1, bHLHe41	12p12.1	AB044088	NM_030762	BHLH	Basic helix-loop-helix proteins	420
2082	CLOCK	clock circadian regulator	Approved		KIAA0334, KAT13D, bHLHe8	4q12	AF011568	NM_004898	BHLH	Basic helix-loop-helix proteins	420
3374	EPAS1	endothelial PAS domain protein 1	Approved		MOP2, PASD2, HIF2A, HLF, bHLHe73	2p21	U81984	NM_001430	BHLH	Basic helix-loop-helix proteins	420
16660	FERD3L	Fer3 like bHLH transcription factor	Approved		NATO3, N-TWIST, bHLHa31	7p21.1	AF369897		BHLH	Basic helix-loop-helix proteins	420
24669	FIGLA	folliculogenesis specific bHLH transcription factor	Approved		bHLHc8	2p13.3	BC039536	NM_001004311	BHLH	Basic helix-loop-helix proteins	420
4807	HAND1	heart and neural crest derivatives expressed 1	Approved		eHand, Thing1, Hxt, bHLHa27	5q33.2	AF061756	NM_004821	BHLH	Basic helix-loop-helix proteins	420
